params,mean_test_accuracy,mean_test_precision,mean_test_recall,mean_test_f1
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.9523809523809523,0.9625925925925924,0.9535714285714286,0.953970169264287
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.9523809523809523,0.9625925925925924,0.9535714285714286,0.953970169264287
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.9428571428571428,0.956111111111111,0.9452380952380952,0.945001915296033
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.9428571428571428,0.956111111111111,0.9452380952380952,0.945001915296033
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.9428571428571428,0.956111111111111,0.9452380952380952,0.945001915296033
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.9428571428571428,0.956111111111111,0.9452380952380952,0.945001915296033
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.9428571428571428,0.956111111111111,0.9452380952380952,0.945001915296033
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.9428571428571428,0.956111111111111,0.9452380952380952,0.945001915296033
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.9428571428571428,0.956111111111111,0.9452380952380952,0.945001915296033
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.9428571428571428,0.956111111111111,0.9452380952380952,0.945001915296033
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.9428571428571428,0.956111111111111,0.9452380952380952,0.945001915296033
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.9333333333333333,0.9501851851851851,0.9357142857142857,0.9355331705331705
